symbol,strategy,entry_date,exit_date,exit_reason,pnl_pct,hold_days
TSLA,RATTLESNAKE,2015-10-01,2015-10-08,STOP,-0.05486072460524516,5
LLY,RATTLESNAKE,2015-10-12,2015-10-22,TIME,-0.030966369951452632,8
NFLX,RATTLESNAKE,2015-10-15,2015-10-27,TIME,0.019586502145507723,8
TMUS,RATTLESNAKE,2015-10-30,2015-11-05,PROFIT,0.04090802808820926,4
NFLX,RATTLESNAKE,2015-11-13,2015-11-16,PROFIT,0.07428851662006397,1
NFLX,RATTLESNAKE,2015-12-11,2015-12-23,TIME,-0.006307275297653292,8
NFLX,RATTLESNAKE,2016-01-05,2016-01-06,PROFIT,0.0930707666926891,1
AVGO,RATTLESNAKE,2016-01-06,2016-01-13,STOP,-0.07487442636996156,5
NVDA,RATTLESNAKE,2016-01-07,2016-01-14,STOP,-0.05317044245165259,5
NFLX,RATTLESNAKE,2016-01-13,2016-01-22,STOP,-0.05480485922832923,6
NVDA,RATTLESNAKE,2016-01-15,2016-01-22,PROFIT,0.04942806723988835,4
NVDA,RATTLESNAKE,2016-02-05,2016-02-17,PROFIT,0.04653816003200384,7
MSFT,RATTLESNAKE,2016-02-05,2016-02-17,PROFIT,0.0525591282902611,7
TSLA,RATTLESNAKE,2016-05-03,2016-05-05,STOP,-0.08948861615932424,2
MSFT,RATTLESNAKE,2016-04-26,2016-05-06,TIME,-0.020412336048679536,8
CAT,RATTLESNAKE,2016-05-09,2016-05-19,TIME,-0.019073060686544907,8
AVGO,RATTLESNAKE,2016-06-27,2016-06-28,PROFIT,0.04274876630738289,1
ACN,RATTLESNAKE,2016-06-27,2016-07-08,PROFIT,0.053253233313575565,8
AVGO,RATTLESNAKE,2016-09-09,2016-09-14,PROFIT,0.05492005912392339,3
UNP,RATTLESNAKE,2016-10-26,2016-11-07,TIME,0.01909024111591573,8
META,RATTLESNAKE,2016-11-04,2016-11-16,TIME,-0.03652181326709569,8
AMZN,RATTLESNAKE,2016-11-14,2016-11-17,PROFIT,0.05191430360592264,3
NFLX,RATTLESNAKE,2016-11-14,2016-11-21,PROFIT,0.04039506239299229,5
AVGO,RATTLESNAKE,2016-12-01,2016-12-08,PROFIT,0.048651596900519456,5
NVDA,RATTLESNAKE,2017-01-04,2017-01-17,TIME,-0.03142060741944852,8
BK,RATTLESNAKE,2017-01-23,2017-02-02,TIME,0.025531680951305313,8
NVDA,RATTLESNAKE,2017-02-14,2017-02-23,STOP,-0.07504322836332422,6
TSLA,RATTLESNAKE,2017-02-23,2017-03-07,TIME,-0.02890740753365828,8
NVDA,RATTLESNAKE,2017-02-28,2017-03-10,TIME,-0.023255902585531674,8
COF,RATTLESNAKE,2017-03-21,2017-03-30,PROFIT,0.041721400617541926,7
AMGN,RATTLESNAKE,2017-03-22,2017-04-03,TIME,-0.021259936583473582,8
MS,RATTLESNAKE,2017-03-23,2017-04-04,TIME,-0.0018783876825825274,8
NVDA,RATTLESNAKE,2017-04-10,2017-04-21,TIME,0.0399917165624446,8
NFLX,RATTLESNAKE,2017-06-12,2017-06-22,TIME,0.022781317076872254,8
COST,RATTLESNAKE,2017-06-19,2017-06-29,TIME,-0.03444102196431453,8
TSLA,RATTLESNAKE,2017-07-05,2017-07-06,STOP,-0.05582559174516721,1
NVDA,RATTLESNAKE,2017-07-03,2017-07-07,PROFIT,0.053326141296760055,3
BKNG,RATTLESNAKE,2017-08-11,2017-08-23,TIME,-0.0221931686850243,8
DE,RATTLESNAKE,2017-08-21,2017-08-31,TIME,-0.0050635501702372965,8
ORCL,RATTLESNAKE,2017-09-19,2017-09-29,TIME,0.006453294850746083,8
TSLA,RATTLESNAKE,2017-09-25,2017-10-05,TIME,0.029971951209601055,8
TSLA,RATTLESNAKE,2017-10-25,2017-11-02,STOP,-0.08157383298559817,6
ADBE,RATTLESNAKE,2017-12-04,2017-12-13,PROFIT,0.04981001702708343,7
PYPL,RATTLESNAKE,2017-12-05,2017-12-13,PROFIT,0.04058981996288358,6
F,RATTLESNAKE,2018-01-19,2018-01-29,STOP,-0.05051265224055812,6
AVGO,RATTLESNAKE,2018-01-25,2018-02-05,STOP,-0.07760118404025085,7
UPS,RATTLESNAKE,2018-02-01,2018-02-05,STOP,-0.05196218302225619,2
CVX,RATTLESNAKE,2018-02-02,2018-02-05,STOP,-0.05026163568552189,1
PYPL,RATTLESNAKE,2018-02-02,2018-02-08,STOP,-0.05550480721311868,4
COF,RATTLESNAKE,2018-02-08,2018-02-12,PROFIT,0.04146620808142476,2
